job_id,tag,matrix,perm,perm_type,category,error_type,error_message,job_dir
1455491,ANALYSIS_RANDOM_ROW,web-BerkStan.mtx,GROOT_reorder,ROW,random_analysis,job_failed,"x: /home/paolo.syloslabini/ReorderingSurvey-2026/datasets/large-matrices/SuiteSparse_1000000_100000000_10000/SNAP/web-BerkStan/web-BerkStan.mtx...
Error: [Errno 2] No such file or directory: 'perms_random/GROOT_reorder/web-BerkStan.perm'
Traceback (most recent call last):
  File ""/home/paolo.syloslabini/ReorderingSurvey-2026/MtxPerm/ANALYSIS/analyze.py"", line 55, in main
    A_scipy = load_and_permute_matrix(
  File ""/home/paolo.syloslabini/ReorderingSurvey-2026/MtxPerm/utils.py"", line 105, in load_and_permute_matrix
    A_cpu = apply_permutation(A_cpu, perm_path, perm_type)
  File ""/home/paolo.syloslabini/ReorderingSurvey-2026/MtxPerm/utils.py"", line 59, in apply_permutation
    row_perm, col_perm = load_permutation_file(perm_path, perm_type)
  File ""/home/paolo.syloslabini/ReorderingSurvey-2026/MtxPerm/utils.py"", line 25, in load_permutation_file
    with open(perm_path, 'r') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'perms_random/GROOT_reorder/web-BerkStan.perm'",/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/perm/ANALYSIS_RANDOM_ROW/20260318_124251_1
81899,random1D,c-69.mtx,,UNKNOWN,perms,empty_output,No stdout or stderr output,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/archive/archive/baldo/perm/random1D/20251208_153925
1262352,FLASHSPARSE_SPMM_SYMMETRIC,G_n_pin_pout.mtx,SB_degree,SYMMETRIC,ops,no_timers,Completed but no parseable timer output,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/FLASHSPARSE_SPMM_SYMMETRIC/20260311_004219
1112612,ASPT_SPMM_SYMMETRIC,venturiLevel3.mtx,SB_rabbit,SYMMETRIC,random_ops,segfault,died with <Signals.SIGSEGV: 11>. Stderr:,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/ASPT_SPMM_SYMMETRIC_RANDOM/20260227_003056
1414153,CUSPARSE_SPMM_BSR_ROW,StocF-1465.mtx,SB_degree,ROW,random_ops,oom_gpu,2.42-GCCcore-13.3.0 CUDA error at cusparse_bsr_spmm.cpp:203: out of memory,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/CUSPARSE_SPMM_BSR_ROW_RANDOM/20260314_155840_3
443421,ASPT_SPMM_ROW,mark3jac140.mtx,SB_degree,ROW,ops,unknown,/opt/shares/easybuild/software/GCCcore/11.2.0/lib64/libstdc++.so.6: version `GLIBCXX_3.4.32' not found (required by /home/paolo.syloslabini/ReorderingSurvey-2026/operators/ASpT/ASpT_SpMM_GPU/sspmm_32),/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/ASPT_SPMM_ROW/20260120_143353
1272960,DTC_SPMM_ROW,ky2010.mtx,SB_metis,ROW,ops,unknown,Loading GCC/13.3.0   Loading requirement: GCCcore/13.3.0 zlib/1.3.1-GCCcore-13.3.0     binutils/2.42-GCCcore-13.3.0,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/DTC_SPMM_ROW/20260311_193839_3
1142718,CUSPARSE_SPMM_BSR_SYMMETRIC,delaunay_n23.mtx,SB_metis,SYMMETRIC,ops,oom_gpu,2.42-GCCcore-13.3.0 CUDA error at cusparse_bsr_spmm.cpp:150: out of memory,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/CUSPARSE_SPMM_BSR_SYMMETRIC/20260227_091807_7
1143433,CUSPARSE_SPMM_BSR_SYMMETRIC,kron_g500-logn20.mtx,SB_slashburn,SYMMETRIC,ops,oom_gpu,2.42-GCCcore-13.3.0 CUDA error at cusparse_bsr_spmm.cpp:203: out of memory,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/CUSPARSE_SPMM_BSR_SYMMETRIC/20260227_093132_3
1154958,CUSPARSE_SPMM_BSR_SYMMETRIC,adaptive.mtx,SB_gray,SYMMETRIC,random_ops,oom_gpu,2.42-GCCcore-13.3.0 CUDA error at cusparse_bsr_spmm.cpp:150: out of memory,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/CUSPARSE_SPMM_BSR_SYMMETRIC_RANDOM/20260227_122204
1414304,CUSPARSE_SPMM_BSR_ROW,Transport.mtx,SB_degree,ROW,random_ops,oom_gpu,2.42-GCCcore-13.3.0 CUDA error at cusparse_bsr_spmm.cpp:203: out of memory,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/CUSPARSE_SPMM_BSR_ROW_RANDOM/20260314_160120_6
1202668,CUSPARSE_SPMM_BSR_ROW,adaptive.mtx,SB_patoh,ROW,ops,oom_gpu,2.42-GCCcore-13.3.0 CUDA error at cusparse_bsr_spmm.cpp:150: out of memory,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/CUSPARSE_SPMM_BSR_ROW/20260301_040346_6
81323,random1D,bcsstm27.mtx,,UNKNOWN,perms,empty_output,No stdout or stderr output,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/archive/archive/baldo/perm/random1D/20251208_151957_3
88742,random1D,lp_ken_11.mtx,,UNKNOWN,perms,empty_output,No stdout or stderr output,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/perm/random1D/20251208_190246_3
1202646,CUSPARSE_SPMM_BSR_ROW,adaptive.mtx,SB_metis,ROW,ops,cuda_error,2.42-GCCcore-13.3.0 CUDA error at cusparse_bsr_spmm.cpp:217: an illegal memory access was encountered,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/CUSPARSE_SPMM_BSR_ROW/20260301_040345_1
1418241,CUSPARSE_SPMM_BSR_ROW,com-LiveJournal.mtx,SB_rcm,ROW,random_ops,oom_gpu,2.42-GCCcore-13.3.0 CUDA error at cusparse_bsr_spmm.cpp:150: out of memory,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/CUSPARSE_SPMM_BSR_ROW_RANDOM/20260314_173624_3
1110066,ASPT_SPMM_ROW,delaunay_n22.mtx,random1D,ROW,ops,segfault,died with <Signals.SIGSEGV: 11>. Stderr:,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/ASPT_SPMM_ROW/20260226_232437_1
81394,random1D,msc01050.mtx,,UNKNOWN,perms,empty_output,No stdout or stderr output,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/archive/archive/baldo/perm/random1D/20251208_152024_1
1156311,CUSPARSE_SPMM_BSR_SYMMETRIC,rgg_n_2_21_s0.mtx,SB_patoh,SYMMETRIC,random_ops,cuda_error,2.42-GCCcore-13.3.0 CUDA error at cusparse_bsr_spmm.cpp:217: an illegal memory access was encountered,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/CUSPARSE_SPMM_BSR_SYMMETRIC_RANDOM/20260227_125158_3
448937,ASPT_SPMM_ROW,rosen1.mtx,random1D,ROW,ops,unknown,/opt/shares/easybuild/software/GCCcore/11.2.0/lib64/libstdc++.so.6: version `GLIBCXX_3.4.32' not found (required by /home/paolo.syloslabini/ReorderingSurvey-2026/operators/ASpT/ASpT_SpMM_GPU/sspmm_32),/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/ASPT_SPMM_ROW/20260120_144611_7
1455891,ANALYSIS_RANDOM_SYMMETRIC,web-BerkStan.mtx,TCA_reorder,SYMMETRIC,random_analysis,job_failed,"atrix: /home/paolo.syloslabini/ReorderingSurvey-2026/datasets/large-matrices/SuiteSparse_1000000_100000000_10000/SNAP/web-BerkStan/web-BerkStan.mtx...
Error: [Errno 2] No such file or directory: 'perms_random/TCA_reorder/web-BerkStan.perm'
Traceback (most recent call last):
  File ""/home/paolo.syloslabini/ReorderingSurvey-2026/MtxPerm/ANALYSIS/analyze.py"", line 55, in main
    A_scipy = load_and_permute_matrix(
  File ""/home/paolo.syloslabini/ReorderingSurvey-2026/MtxPerm/utils.py"", line 105, in load_and_permute_matrix
    A_cpu = apply_permutation(A_cpu, perm_path, perm_type)
  File ""/home/paolo.syloslabini/ReorderingSurvey-2026/MtxPerm/utils.py"", line 59, in apply_permutation
    row_perm, col_perm = load_permutation_file(perm_path, perm_type)
  File ""/home/paolo.syloslabini/ReorderingSurvey-2026/MtxPerm/utils.py"", line 25, in load_permutation_file
    with open(perm_path, 'r') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'perms_random/TCA_reorder/web-BerkStan.perm'",/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/perm/ANALYSIS_RANDOM_SYMMETRIC/20260318_124427_7
955533,SB_gray,stat96v4.mtx,,UNKNOWN,random_perms,python_exception,"Traceback (most recent call last):   File ""/home/paolo.syloslabini/ReorderingSurvey-2026/MtxPerm/pre_permute.py"",",/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/perm/SB_gray_RANDOM/20260220_204841_8
1161467,CUSPARSE_SPMM_BSR_SYMMETRIC,dielFilterV2clx.mtx,SB_metis,SYMMETRIC,random_ops,cuda_error,"asting, copy=True), CUDA error at cusparse_bsr_spmm.cpp:217: an illegal memory access was encountered",/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/CUSPARSE_SPMM_BSR_SYMMETRIC_RANDOM/20260227_181040
1262053,FLASHSPARSE_SPMM_SYMMETRIC,rgg_n_2_20_s0.mtx,SB_amd,SYMMETRIC,ops,no_timers,Completed but no parseable timer output,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/FLASHSPARSE_SPMM_SYMMETRIC/20260310_235242
1165549,CUSPARSE_SPMM_BSR_SYMMETRIC,Serena.mtx,SB_amd,SYMMETRIC,random_ops,cuda_error,2.42-GCCcore-13.3.0 CUDA error at cusparse_bsr_spmm.cpp:217: an illegal memory access was encountered,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/CUSPARSE_SPMM_BSR_SYMMETRIC_RANDOM/20260227_212710
959930,SB_amd,deter7.mtx,,UNKNOWN,random_perms,python_exception,"Traceback (most recent call last):   File ""/home/paolo.syloslabini/ReorderingSurvey-2026/MtxPerm/pre_permute.py"",",/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/perm/SB_amd_RANDOM/20260220_205536_7
1167898,CUSPARSE_SPMM_BSR_SYMMETRIC,nlpkkt120.mtx,SB_rabbit,SYMMETRIC,ops,oom_gpu,2.42-GCCcore-13.3.0 CUDA error at cusparse_bsr_spmm.cpp:150: out of memory,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/CUSPARSE_SPMM_BSR_SYMMETRIC/20260228_003642_1
1454769,ANALYSIS_ROW,nlpkkt120.mtx,SB_slashburn,ROW,analysis,job_failed,"Loading matrix: /home/paolo.syloslabini/ReorderingSurvey-2026/datasets/large-matrices/SuiteSparse_1000000_100000000_10000/Schenk/nlpkkt120/nlpkkt120.mtx...
Error: [Errno 2] No such file or directory: 'perms/SB_slashburn/nlpkkt120.perm'
Traceback (most recent call last):
  File ""/home/paolo.syloslabini/ReorderingSurvey-2026/MtxPerm/ANALYSIS/analyze.py"", line 55, in main
    A_scipy = load_and_permute_matrix(
  File ""/home/paolo.syloslabini/ReorderingSurvey-2026/MtxPerm/utils.py"", line 105, in load_and_permute_matrix
    A_cpu = apply_permutation(A_cpu, perm_path, perm_type)
  File ""/home/paolo.syloslabini/ReorderingSurvey-2026/MtxPerm/utils.py"", line 59, in apply_permutation
    row_perm, col_perm = load_permutation_file(perm_path, perm_type)
  File ""/home/paolo.syloslabini/ReorderingSurvey-2026/MtxPerm/utils.py"", line 25, in load_permutation_file
    with open(perm_path, 'r') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'perms/SB_slashburn/nlpkkt120.perm'",/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/perm/ANALYSIS_ROW/20260318_120721_6
954124,SB_degree,wb-cs-stanford.mtx,,UNKNOWN,random_perms,segfault,t: line 36: 3551867 Segmentation fault      (core dumped) ./MtxPerm/SPARSEBASE/build/degree_perm $temp_mtx $perm_path,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/perm/SB_degree_RANDOM/20260220_204624_2
1114924,ASPT_SPMM_SYMMETRIC,AS365.mtx,SB_gray,SYMMETRIC,random_ops,oom_cpu,tasks have been OOM Killed.,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/ASPT_SPMM_SYMMETRIC_RANDOM/20260227_010636_1
954266,SB_degree,flower_7_4.mtx,,UNKNOWN,random_perms,python_exception,"Traceback (most recent call last):   File ""/home/paolo.syloslabini/ReorderingSurvey-2026/MtxPerm/pre_permute.py"",",/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/perm/SB_degree_RANDOM/20260220_204638_2
1156179,CUSPARSE_SPMM_BSR_SYMMETRIC,eu-2005.mtx,SB_gray,SYMMETRIC,ops,cuda_error,2.42-GCCcore-13.3.0 CUDA error at cusparse_bsr_spmm.cpp:217: an illegal memory access was encountered,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/CUSPARSE_SPMM_BSR_SYMMETRIC/20260227_125024_1
1156318,CUSPARSE_SPMM_BSR_SYMMETRIC,rgg_n_2_21_s0.mtx,SB_patoh,SYMMETRIC,random_ops,oom_gpu,2.42-GCCcore-13.3.0 CUDA error at cusparse_bsr_spmm.cpp:150: out of memory,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/CUSPARSE_SPMM_BSR_SYMMETRIC_RANDOM/20260227_125229
1455926,ANALYSIS_RANDOM_SYMMETRIC,sx-stackoverflow.mtx,TCA_reorder,SYMMETRIC,random_analysis,job_failed,"lo.syloslabini/ReorderingSurvey-2026/datasets/large-matrices/SuiteSparse_1000000_100000000_10000/SNAP/sx-stackoverflow/sx-stackoverflow.mtx...
Error: [Errno 2] No such file or directory: 'perms_random/TCA_reorder/sx-stackoverflow.perm'
Traceback (most recent call last):
  File ""/home/paolo.syloslabini/ReorderingSurvey-2026/MtxPerm/ANALYSIS/analyze.py"", line 55, in main
    A_scipy = load_and_permute_matrix(
  File ""/home/paolo.syloslabini/ReorderingSurvey-2026/MtxPerm/utils.py"", line 105, in load_and_permute_matrix
    A_cpu = apply_permutation(A_cpu, perm_path, perm_type)
  File ""/home/paolo.syloslabini/ReorderingSurvey-2026/MtxPerm/utils.py"", line 59, in apply_permutation
    row_perm, col_perm = load_permutation_file(perm_path, perm_type)
  File ""/home/paolo.syloslabini/ReorderingSurvey-2026/MtxPerm/utils.py"", line 25, in load_permutation_file
    with open(perm_path, 'r') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'perms_random/TCA_reorder/sx-stackoverflow.perm'",/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/perm/ANALYSIS_RANDOM_SYMMETRIC/20260318_124432_5
444212,ASPT_SPMM_ROW,nemeth10.mtx,random1D,ROW,ops,unknown,/opt/shares/easybuild/software/GCCcore/11.2.0/lib64/libstdc++.so.6: version `GLIBCXX_3.4.32' not found (required by /home/paolo.syloslabini/ReorderingSurvey-2026/operators/ASpT/ASpT_SpMM_GPU/sspmm_32),/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/ASPT_SPMM_ROW/20260120_143544
1144018,CUSPARSE_SPMM_BSR_SYMMETRIC,venturiLevel3.mtx,SB_degree,SYMMETRIC,ops,oom_gpu,2.42-GCCcore-13.3.0 CUDA error at cusparse_bsr_spmm.cpp:150: out of memory,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/CUSPARSE_SPMM_BSR_SYMMETRIC/20260227_094548_2
956909,SB_rcm,pds-50.mtx,,UNKNOWN,random_perms,python_exception,"Traceback (most recent call last):   File ""/home/paolo.syloslabini/ReorderingSurvey-2026/MtxPerm/pre_permute.py"",",/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/perm/SB_rcm_RANDOM/20260220_205053_6
81905,random1D,dtoc.mtx,,UNKNOWN,perms,empty_output,No stdout or stderr output,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/archive/archive/baldo/perm/random1D/20251208_153936
1156307,CUSPARSE_SPMM_BSR_SYMMETRIC,amazon-2008.mtx,random1D,SYMMETRIC,ops,cuda_error,2.42-GCCcore-13.3.0 CUDA error at cusparse_bsr_spmm.cpp:217: an illegal memory access was encountered,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/CUSPARSE_SPMM_BSR_SYMMETRIC/20260227_125158_3
85025,random1D,spaceShuttleEntry_2.mtx,,UNKNOWN,perms,empty_output,No stdout or stderr output,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/archive/archive/baldo/perm/random1D/20251208_185614_4
1266948,FLASHSPARSE_SPMM_SYMMETRIC,soc-sign-bitcoin-alpha.mtx,GROOT_reorder,SYMMETRIC,ops,no_timers,Completed but no parseable timer output,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/FLASHSPARSE_SPMM_SYMMETRIC/20260311_094508_1
1407160,FLASHSPARSE_SPMM_ROW,Linux_call_graph.mtx,SB_rcm,ROW,random_ops,no_timers,Completed but no parseable timer output,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/FLASHSPARSE_SPMM_ROW_RANDOM/20260314_124439_4
957857,SB_metis,lp_pds_02.mtx,,UNKNOWN,random_perms,python_exception,"Traceback (most recent call last):   File ""/home/paolo.syloslabini/ReorderingSurvey-2026/MtxPerm/pre_permute.py"",",/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/perm/SB_metis_RANDOM/20260220_205223_3
81318,random1D,bcsstk33.mtx,,UNKNOWN,perms,empty_output,No stdout or stderr output,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/archive/archive/baldo/perm/random1D/20251208_151956_2
1080517,SB_patoh,dblp-2010.mtx,,UNKNOWN,perms,job_running,"[PaToH] Started with 5 arguments
[PaToH]   argv[0] = ./MtxPerm/SPARSEBASE/build/patoh_perm
[PaToH]   argv[1] = /home/paolo.syloslabini/ReorderingSurvey-2026/datasets/large-matrices/SuiteSparse_1000000_100000000_10000/LAW/dblp-2010/dblp-2010.mtx
[PaToH]   argv[2] = perms/SB_patoh/dblp-2010.perm
[PaToH]   argv[3] = --nparts
[PaToH]   argv[4] = 128
[PaToH] Loading matrix: /home/paolo.syloslabini/ReorderingSurvey-2026/datasets/large-matrices/SuiteSparse_1000000_100000000_10000/LAW/dblp-2010/dblp-2010.mtx
[PaToH] Matrix loaded: 326186 vertices
[PaToH] Computing hypergraph partitioning with 128 partitions (objective: connectivity)...
[2026-02-24T00:01:19.004] error: *** JOB 1080517 ON gpu01 CANCELLED AT 2026-02-24T00:01:19 DUE TO TIME LIMIT ***",/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/perm/SB_patoh/20260223_233851_2
445751,ASPT_SPMM_ROW,mult_dcop_01.mtx,random1D,ROW,ops,unknown,/opt/shares/easybuild/software/GCCcore/11.2.0/lib64/libstdc++.so.6: version `GLIBCXX_3.4.32' not found (required by /home/paolo.syloslabini/ReorderingSurvey-2026/operators/ASpT/ASpT_SpMM_GPU/sspmm_32),/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/ASPT_SPMM_ROW/20260120_143937_5
961386,SB_rabbit,deter4.mtx,,UNKNOWN,random_perms,python_exception,"Traceback (most recent call last):   File ""/home/paolo.syloslabini/ReorderingSurvey-2026/MtxPerm/pre_permute.py"",",/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/perm/SB_rabbit_RANDOM/20260220_205755_3
445176,ASPT_SPMM_ROW,adder_dcop_09.mtx,SB_degree,ROW,ops,unknown,/opt/shares/easybuild/software/GCCcore/11.2.0/lib64/libstdc++.so.6: version `GLIBCXX_3.4.32' not found (required by /home/paolo.syloslabini/ReorderingSurvey-2026/operators/ASpT/ASpT_SpMM_GPU/sspmm_32),/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/ASPT_SPMM_ROW/20260120_143812_7
1410923,CUSPARSE_SPMM_BSR_ROW,coPapersCiteseer.mtx,SB_slashburn,ROW,random_ops,cuda_error,2.42-GCCcore-13.3.0 CUDA error at cusparse_bsr_spmm.cpp:217: an illegal memory access was encountered,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/CUSPARSE_SPMM_BSR_ROW_RANDOM/20260314_143154_9
85435,random2D,lpi_ceria3d.mtx,,UNKNOWN,perms,empty_output,No stdout or stderr output,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/archive/archive/baldo/perm/random2D/20251208_185645_3
1202443,CUSPARSE_SPMM_BSR_ROW,kron_g500-logn18.mtx,SB_gray,ROW,ops,cuda_error,2.42-GCCcore-13.3.0 CUDA error at cusparse_bsr_spmm.cpp:217: an illegal memory access was encountered,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/CUSPARSE_SPMM_BSR_ROW/20260301_035906_4
1175113,CUSPARSE_SPMM_BSR_SYMMETRIC,cage14.mtx,SB_rabbit,SYMMETRIC,ops,cuda_error,2.42-GCCcore-13.3.0 CUDA error at cusparse_bsr_spmm.cpp:217: an illegal memory access was encountered,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/CUSPARSE_SPMM_BSR_SYMMETRIC/20260228_173833
1202531,CUSPARSE_SPMM_BSR_ROW,kron_g500-logn19.mtx,SB_rabbit,ROW,ops,oom_gpu,2.42-GCCcore-13.3.0 CUDA error at cusparse_bsr_spmm.cpp:203: out of memory,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/CUSPARSE_SPMM_BSR_ROW/20260301_040010_4
85257,random2D,ex37.mtx,,UNKNOWN,perms,empty_output,No stdout or stderr output,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/archive/archive/baldo/perm/random2D/20251208_185632
1262171,FLASHSPARSE_SPMM_SYMMETRIC,144.mtx,SB_metis,SYMMETRIC,ops,no_timers,Completed but no parseable timer output,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/FLASHSPARSE_SPMM_SYMMETRIC/20260311_001428_3
88467,random1D,gemat1.mtx,,UNKNOWN,perms,empty_output,No stdout or stderr output,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/perm/random1D/20251208_190222_1
85724,random2D,blockqp1.mtx,,UNKNOWN,perms,empty_output,No stdout or stderr output,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/archive/archive/baldo/perm/random2D/20251208_185707
1102745,SB_patoh,Hook_1498.mtx,,UNKNOWN,random_perms,job_running,"[PaToH] Started with 5 arguments
[PaToH]   argv[0] = ./MtxPerm/SPARSEBASE/build/patoh_perm
[PaToH]   argv[1] = /tmp/pre_perm_Mkzh6b.mtx
[PaToH]   argv[2] = perms_random/SB_patoh/Hook_1498.perm
[PaToH]   argv[3] = --nparts
[PaToH]   argv[4] = 128
[PaToH] Loading matrix: /tmp/pre_perm_Mkzh6b.mtx
[PaToH] Matrix loaded: 1498023 vertices
[PaToH] Computing hypergraph partitioning with 128 partitions (objective: connectivity)...
[2026-02-26T19:42:56.009] error: *** JOB 1102745 ON gpu00 CANCELLED AT 2026-02-26T19:42:56 DUE TO TIME LIMIT ***",/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/perm/SB_patoh_RANDOM/20260226_192631_6
